Development Name	Borough	Account Name	Location	Meter AMR	Meter Scope	TDS #	EDP	RC Code	Funding Source	AMP #	Vendor Name	UMIS BILL ID	Revenue Month	Service Start Date	Service End Date	# days	Meter Number	Estimated	Current Charges	Rate Class	Bill Analyzed	Consumption (KWH)	KWH Charges	Consumption (KW)	KW Charges	Other charges
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1842038	2010-01-01	12/24/2009	01/26/2010	33	7518362	N	11414.03	GOV/NYC/068	Yes	92800	5323.01	164	2132	3959.02
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1844206	2010-02-01	01/26/2010	02/25/2010	30	7518362	N	10948.54	GOV/NYC/068	Yes	84400	4841.18	172	2236	3871.36
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1841379	2010-03-01	02/25/2010	03/26/2010	29	7518362	N	10457.15	GOV/NYC/068	Yes	74400	4267.58	168	2184	4005.57
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1847150	2010-04-01	03/26/2010	04/26/2010	31	7518362	N	10277.7	GOV/NYC/068	Yes	74000	4244.64	144	1872	4161.06
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1848673	2010-05-01	04/26/2010	05/24/2010	28	7518362	N	10481.32	GOV/NYC/068	Yes	70000	4015.2	172	2236	4230.12
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1850072	2010-06-01	05/24/2010	06/23/2010	30	7518362	N	13485.11	GOV/NYC/068	Yes	93600	5368.9	204	2652	5464.21
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1853251	2010-07-01	06/23/2010	07/23/2010	30	7518362	N	16761.04	GOV/NYC/068	Yes	128000	7342.08	240	3120	6298.96
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1868916	2010-08-01	07/23/2010	08/23/2010	31	7518362	Y	16181.77	GOV/NYC/068	Yes	112800	6470.21	240	3120	6591.56
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1868917	2010-09-01	08/23/2010	09/22/2010	30	7518362	N	15589.08	GOV/NYC/068	Yes	109200	6263.71	240	3120	6205.37
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1856224	2010-10-01	09/22/2010	10/22/2010	30	7518362	N	11713.48	GOV/NYC/068	Yes	78000	4474.08	184	2392	4847.4
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1858706	2010-11-01	10/22/2010	11/22/2010	31	7518362	N	10857.82	GOV/NYC/068	Yes	80000	4588.8	156	2028	4241.02
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	1860008	2010-12-01	11/22/2010	12/23/2010	31	7518362	N	11667.47	GOV/NYC/068	Yes	85600	4910.02	168	2184	4573.45
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2144503	2012-01-01	12/23/2011	01/25/2012	33	7518362	N	12143.01	GOV/NYC/068	Yes	83200	4564.35	156	3114.66	4464
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2181382	2012-02-01	01/25/2012	02/24/2012	30	7518362	N	10641.35	GOV/NYC/068	Yes	73600	4037.7	152	3114.66	3488.99
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2283753	2012-03-01	02/24/2012	03/26/2012	31	7518362	N	10479.76	GOV/NYC/068	Yes	72400	3971.86	144	3114.66	3393.24
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2284891	2012-04-01	03/26/2012	04/24/2012	29	7518362	N	10077.19	GOV/NYC/068	Yes	68400	3752.42	140	3114.66	3210.11
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2286054	2012-05-01	04/24/2012	05/23/2012	29	7518362	N	10131.87	GOV/NYC/068	Yes	69200	3796.31	140	3114.66	3220.9
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2311050	2012-06-01	05/23/2012	06/22/2012	30	7518362	N	15309.27	GOV/NYC/068	Yes	88000	5304.64	228	3880.56	6124.07
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2365205	2012-07-01	06/22/2012	07/24/2012	32	7518362	N	20950.16	GOV/NYC/068	Yes	134800	8125.74	256	4357.12	8467.3
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2398926	2012-08-01	07/24/2012	08/22/2012	29	7518362	N	15907.66	GOV/NYC/068	Yes	120000	7233.6	244	4152.88	4521.18
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2437679	2012-09-01	08/22/2012	09/21/2012	30	7518362	N	13743.76	GOV/NYC/068	Yes	100800	6076.22	208	3540.16	4127.38
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2476875	2012-10-01	09/21/2012	10/23/2012	32	7518362	N	11836.22	GOV/NYC/068	Yes	79600	4366.86	172	3267.84	4201.52
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2516801	2012-11-01	10/23/2012	11/21/2012	29	7518362	N	9599.25	GOV/NYC/068	Yes	69600	3818.26	144	3267.84	2513.15
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2560184	2012-12-01	11/21/2012	12/24/2012	33	7518362	N	12835.68	GOV/NYC/068	Yes	85200	4674.07	172	3267.84	4893.77
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2600213	2013-01-01	12/24/2012	01/24/2013	31	7518362	N	11455.86	GOV/NYC/068	Yes	80000	4388.8	152	3267.84	3799.22
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2651742	2013-02-01	01/24/2013	02/25/2013	32	7518362	N	11603.43	GOV/NYC/068	Yes	79600	4366.86	144	3267.84	3968.73
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2703479	2013-03-01	02/25/2013	03/26/2013	29	7518362	N	11608.99	GOV/NYC/068	Yes	70000	3610.6	140	3371.52	4626.87
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2745559	2013-04-01	03/26/2013	04/24/2013	29	7518362	N	10461.73	GOV/NYC/068	Yes	71600	3693.13	144	3371.52	3397.08
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2789040	2013-05-01	04/24/2013	05/23/2013	29	7518362	N	10944.48	GOV/NYC/068	Yes	66800	3445.54	156	3371.52	4127.42
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2843237	2013-06-01	05/23/2013	06/24/2013	32	7518362	N	14457.26	GOV/NYC/068	Yes	91600	5163.49	208	3652.48	5641.29
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2884929	2013-07-01	06/24/2013	07/24/2013	30	7518362	N	19917.47	GOV/NYC/068	Yes	138800	7824.16	260	4565.6	7527.71
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	2960315	2013-08-01	07/24/2013	08/22/2013	29	7518362	N	13738.42	GOV/NYC/068	Yes	98400	5546.81	200	3512	4679.61
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3007354	2013-09-01	08/22/2013	09/23/2013	32	7518362	N	15996.35	GOV/NYC/068	Yes	101600	5727.19	228	4003.68	6265.48
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3036582	2013-10-01	09/23/2013	10/23/2013	30	7518362	N	10975.64	GOV/NYC/068	Yes	74400	3837.55	168	3424.2	3713.89
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3098571	2013-11-01	10/23/2013	11/21/2013	29	7518362	N	9450.37	GOV/NYC/068	Yes	70000	3610.6	140	3424.2	2415.57
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3166064	2013-12-01	11/21/2013	12/24/2013	33	7518362	N	11839.79	GOV/NYC/068	Yes	80800	4167.66	140	3424.2	4247.93
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3219321	2014-01-01	12/24/2013	01/24/2014	31	7518362	N	10281.17	GOV/NYC/068	Yes	76000	3926.92	140	3057.6	3296.65
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3281877	2014-02-01	01/24/2014	02/25/2014	32	7518362	N	10096.55	GOV/NYC/068	Yes	75600	3906.25	136	3057.6	3132.7
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3342772	2014-03-01	02/25/2014	03/26/2014	29	7518362	N	13990.62	GOV/NYC/068	Yes	66000	3410.22	132	3057.6	7522.8
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3413693	2014-04-01	03/26/2014	04/24/2014	29	7518362	N	11011.83	GOV/NYC/068	Yes	64000	3306.88	128	3057.6	4647.35
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3481784	2014-05-01	04/24/2014	05/23/2014	29	7518362	N	12065.21	GOV/NYC/068	Yes	64400	3327.55	140	3057.6	5680.06
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3544248	2014-06-01	05/23/2014	06/24/2014	32	7518362	N	13050.74	GOV/NYC/068	Yes	84800	4792.05	204	3198.72	5059.97
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3663778	2014-07-01	06/24/2014	07/24/2014	30	7518362	Y	14583.6	GOV/NYC/068	Yes	107600	6080.48	220	3449.6	5053.52
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3663983	2014-08-01	07/24/2014	08/22/2014	29	7518362	N	14059.99	GOV/NYC/068	Yes	100800	5696.21	220	3449.6	4914.18
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3728351	2014-09-01	08/22/2014	09/23/2014	32	7518362	N	13869.59	GOV/NYC/068	Yes	99600	5628.4	228	3575.04	4666.15
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3897374	2014-10-01	09/23/2014	10/23/2014	30	7518362	Y	9640.81	GOV/NYC/068	Yes	72000	3720.24	164	2681.28	3239.29
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3897402	2014-11-01	10/23/2014	11/21/2014	29	7518362	Y	8668.27	GOV/NYC/068	Yes	69600	3596.23	164	2681.28	2390.76
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3897597	2014-12-01	11/21/2014	12/24/2014	33	7518362	N	11523.82	GOV/NYC/068	Yes	80000	4133.6	164	2681.28	4708.94
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	3958271	2015-01-01	12/24/2014	01/26/2015	33	7518362	N	10677.73	GOV/NYC/068	Yes	80800	4174.94	140	2681.28	3821.51
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4030453	2015-02-01	01/26/2015	02/25/2015	30	7518362	N	10301.29	GOV/NYC/068	Yes	77200	3988.92	148	2681.28	3631.09
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4099483	2015-03-01	02/25/2015	03/26/2015	29	7518362	N	10022.29	GOV/NYC/068	Yes	70000	2856.7	136	2706.93	4458.66
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4154150	2015-04-01	03/26/2015	04/24/2015	29	7518362	N	12412.44	GOV/NYC/068	Yes	67600	2758.76	140	2706.93	6946.75
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4221023	2015-05-01	04/24/2015	05/26/2015	32	7518362	N	9818.47	GOV/NYC/068	Yes	76400	3117.88	156	2706.93	3993.66
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4284272	2015-06-01	05/26/2015	06/24/2015	29	7518362	N	11935.84	GOV/NYC/068	Yes	88000	4038.32	220	3482.6	4414.92
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4421271	2015-07-01	06/24/2015	07/24/2015	30	7518362	N	14822.75	GOV/NYC/068	Yes	109200	5011.19	240	3799.2	6012.36
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4421675	2015-08-01	07/24/2015	08/24/2015	31	7518362	N	14062.18	GOV/NYC/068	Yes	119600	5488.44	232	3672.56	4901.18
